listing_url,business_name,location,role_name,job_compensation1,job_details,job_requirements,comp_details,required_skills,great_fit_benefits_no_retirement,bad_fit_has_retirement
"https://culinaryagents.com/jobs/460703-Sous-Chef?client_id=CA-SP-CULINARYAGENTS&s_id=49965&widget_name=job-search
",Lula Cafe,,Sous Chef,Full Time • Salary (Based on Experience),"Job DetailsLula Cafe - Logan Square's beloved brunch and farm to table cafe - is looking for a strong Sous Chef candidate to join our management team. 
Sous chef works alongside the Executive Chef and chef team in running day-to-day kitchen operations. This includes understanding and assisting with all operational details: ordering, receiving, product organization and quality, service quality standards (for both AM and PM services), expediting, hot and cold line cooking, closing the hotline kitchen, production management, production assistance, offsite event execution and menu development involvement. Sous chef is heavily involved with food and labor cost control as well as assists the Executive Chef with strategic financial planning and management of all kitchen operations. 
Reports directly to Chef/Proprietor Jason Hammel and Executive Chef Andrew Holladay.
 
Qualifications
2+ years’ cooking and production experience in a comparable high-volume restaurant
1+ years’ kitchen management experience
1+ years’ experience with food and labor cost control and management
some experience with restaurant finance and modelling
some experience with offsite catering operations
ability to work ~50 hours per week depending on business needs
flexible and open schedule (availability to open or close on coinciding weeks)
moderate fluency with IT, Google, Excel, Quickbooks, Toast, 7shifts and other restaurant software
driver’s license
ability to lift 35+ pounds
 
Responsibilities
central focus on progressing Lula Café’s values, vision, mission (see website)
elevate and quality control food and service standards for all kitchen departments
encourage a team orientated culture for BOH employees and management team
oversee health and safety standards for Lula Café BOH
work with chef team on set food budget goals
work with chef team on set labor budget goals
work with chef team on training, mentoring and growth for kitchen employees
strategically control product costs and sourcing
manage the setup and opening for AM and PM services a/n
expedite AM and PM services a/n
assist and manage production team alongside production sous chef
assist AM and PM sous chefs with service, including quality checks, setup accountability and implementation of new dishes
manage PM production crew a/n
close PM kitchen a/n
fill in for fellow chefs  a/n
source new products, work with new frames, introduce new ideas, techniques, and applications of craft
assist catering chef with offsite production and execution
prep and cook!
 
Compensation
salary, benefits, 401K, health insurance, incentive programs",Required Years of Experience1 year,"Compensation DetailsCompensation: Salary (Based on Experience)Benefits & Perks: Health Insurance, Dental Insurance, Vision Insurance, Paid Time Off, 401k, Potential Bonuses, Dining Discounts",,False,True
"https://culinaryagents.com/jobs/460511-Open-Call?client_id=CA-SP-CULINARYAGENTS&s_id=49896&widget_name=job-search
",BLVD Steakhouse,,Open Call,Full/Part Time • Hourly (Based on Experience) plus tips,"Job Details
Monday, March 27th, from 12:00 noon to 3:30PM. 
We are hosting a hiring event for the opening of our new 100 seat patio! 
We are hiring for all front and back of house positions! Reply to this ad with a PDF resume and a short personal introduction to secure an interview. BASSET certification is required for all Front Of House positions. Illinois Food Handler’s Certificate is required for all Front Of House and Back Of House positions. Please bring the required certificates along with I9 verification documents. We will be hiring on the spot for well qualified candidates!  
Details:

Date: March 27th
Time: 12:00PM - 3:30PM
Location: BLVD Steakhouse, front door. 
Address: 817 W Lake St, Chicago IL 60607 
Job Types: Full-time, Part-time

Setting:

200+ seat Fine Dining Steakhouse with a 100+ seat  outdoor patio and robust private events program.

Schedule:

Evening service, 4:30PM open, 9:30PM final seating.
7 Days.
Weekend availability including Sundays is required.

",Required Years of Experience2 years,"Compensation DetailsCompensation: Hourly (Based on Experience) plus tipsBenefits & Perks: Health Insurance, Dental Insurance, Vision Insurance, 401k, Dining Discounts",Required Skills,False,True
"https://culinaryagents.com/jobs/460235-Restaurant-Host?client_id=CA-SP-CULINARYAGENTS&s_id=49867&widget_name=job-search
",Chicago Winery,,Restaurant Host,Full/Part Time • Hourly ($20.00 - $22.00),"Job DetailsChicago Winery--Restaurant Host
  
Chicago Winery is a people-first organization. We are a boutique urban winery that prides ourselves in providing high touch hospitality experiences both for our colleagues and our guests. We believe in seasonality, relevancy, authenticity, and soulful hospitality. We believe in the beauty of expertly crafted wines and how they pair with delicious food.We are searching for team members who are committed to working as hospitality professionals. People who deeply care about creating a friendly, warm experience for our guests. People who live and breathe passion for food, wine and events. People that love to learn, share, and tell others about their stories and adventures.
 

Benefits/Bonuses

Benefits including medial, dental and vision available to all eligible 20+ hour per week employees
Top-notch, ongoing staff education and training provided
Paid Sick Time 
5 days of PTO after 1 year
Employee Assistance Program
401k
Flexible Schedules
Employee Discount and Family Meals

Position Summary
 
Hosts are responsible for greeting guests, taking reservations, answering questions, managing wait times, and escorting guests to the dining and bar areas. Lead hosts also participate in the training and mentoring of new hires to the host position. At all times, hosts are expected to be attentive to guests’ needs, making them feel welcome, comfortable, important and relaxed. Hosts know their demeanor and actions represent the restaurant and are to provide a quality experience for guests. Hosts work in close collaboration with colleagues and must adhere to established health and safety standards. Hosts help maintain the cleanliness, presentation and ambiance of the restaurant and restrooms which is an integral part of the guests’ experience.Responsibilities

Greet customers as soon as they enter the restaurant
Manage the flow of guests in the restaurant and bar area when seating guests to ensure even workloads for waitstaff
Provide guests with accurate wait time estimates during busy periods
Maintain a neat, organized front-of-house environment
Assist with opening/closing tasks and side work as needed, including polishing glassware and silverware and folding napkins
Have a high level understanding of the food and beverage menus
Answer phones and schedule small party reservations
Direct large party reservations to the Manager on duty
Retrieve voicemails and respond or forward message to appropriate person for response
Perform light housekeeping duties such as cleaning windows and restrooms
Abide by sanitation, health and company guidelines concerning safety, cleanliness, safe food handling and alcoholic beverages
Address guest concerns promptly, politely and positively
Contribute to restaurant growth by creating goodwill with guests
Attend meetings and trainings as requested, including pre-shift meetings
Assist restaurant management team with Menu Edits
Assist with training and mentoring of new staff
Adhere to grooming, conduct and uniform standards
Be comfortable with extreme weather during service of outside dining areas
Other duties as required

Skill Requirements

Excellent communication and interpersonal skills
Prior customer service or server experience preferred
Knowledge of Aloha POS preferred
Food and wine knowledge preferred
Adaptability and ability to think on your feet
Ability to work quickly and with great accuracy and attention to detail
Strong work ethic
Collaboration and dedication to team goals required
Strong troubleshooting skills
Strong desire to interact with customers in a service setting
Highly organized and systematic in work
Ability to stand for prolonged periods of time
Ability to bend, stoop and lift at least 25-50 pounds
Proficient in English


Chicago Winery provides equal employment opportunities to all employees and applicants foremployment and prohibits discrimination and harassment of any type without regard to race,color, religion, age, sex, national origin, disability status, genetics, protected veteran status,sexual orientation, gender identity or expression, or any other characteristic protected byfederal, state or local laws.
This policy applies to all terms and conditions of employment, including recruiting, hiring,placement, promotion, termination, layoff, recall, transfer, leaves of absence, compensation,and training.
",Required Years of Experience1 year,"Compensation DetailsCompensation: Hourly ($20.00 - $22.00)Benefits & Perks: Health Insurance, Dental Insurance, Vision Insurance, 401k",,False,True
"https://culinaryagents.com/jobs/460231-Dishwasher?client_id=CA-SP-CULINARYAGENTS&s_id=49866&widget_name=job-search
",Scratchboard Kitchen,,Dishwasher,Full Time • Hourly ($16.00 - $18.00),"Job DetailsABOUT THE ROLE:

Job Requirements:

1+ Years of restaurant experience
Work quickly and efficiently
Wash, polish and put away dishes
Follow standard sanitation procedures
Team oriented

Physical Demands

The physical demands for this position are seeing, hearing, speaking, reaching, frequently lifting up to 25 pounds, occasionally lifting up to 50 pounds, sitting, standing, for 4 to 8 hours, bending, and moving intermittently during working hours. These physical requirements may be accomplished with or without reasonable accommodations.

SOBRE EL PAPEL: Requisitos de trabajo: 1+ Años de experiencia en restaurantes Trabaje de manera rápida y eficiente Lavar, pulir y guardar los platos Siga los procedimientos estándar de saneamiento Equipo orientado Demandas físicas Las demandas físicas para este puesto son ver, oír, hablar, alcanzar, levantar con frecuencia hasta 25 libras, levantar ocasionalmente hasta 50 libras, sentarse, pararse, de 4 a 8 horas, agacharse y moverse intermitentemente durante las horas de trabajo. Estos requisitos físicos pueden cumplirse con o sin adaptaciones razonables.
",Required Years of Experience0-1 years,"Compensation DetailsCompensation: Hourly ($16.00 - $18.00)Benefits & Perks: Health Insurance, Dental Insurance, Vision Insurance, Dining Discounts",,True,False
"https://culinaryagents.com/jobs/461666-Pastry-Cook
",Publican Quality Bread,,Pastry Cook,Full Time • Hourly ($17.00) plus tips,"Job Details


For over 20 years, One Off Hospitality has developed and operated some of Chicago’s most beloved places to eat and drink. More importantly, we’re a group of people – chefs, hospitality veterans, managers and creators – who believe in the power of treating our guests like family and our restaurants like home.
REPORTS TO: HEAD BAKERFLSA: NON-EXEMPTPOSITION SUMMARY: The production pastry cook is responsible for production and/or plating of all elements of the dessert menu offerings under guidance and standards of the Head Baker.
Essential Duties & ResponsibilitiesThe essential functions include, but are not limited to the following:

Maintains a cheerful, courteous disposition and a neat, clean and professional image
Assists head baker in upholding standards and cleaning responsibilities 
Prepares mise en place for the restaurant in timely fashion
Executes the recipes and portion specifications in accordance with the standards of the location’s leadership team
Assists in maintaining appropriate pars for all pastry items on the menu daily
Exhibits cooperative effort, team spirit and good morale among employees
Maintains high safety and sanitation standards in the pastry kitchen and on the line
Has strong ability to communicate any issues, concerns or ideas
Keeps immediate supervisor promptly and fully informed of all problems or unusual matters of significance
Able to work a flexible schedule as business dictates
Performs shift change and/or opening or closing duties
Adheres to all company safety and sanitation policies and procedures
Assists other team members as needed or when business needs dictates

Minimum Qualifications (Education, Experience, Skills)

High School Diploma or GED graduate
Food Handler Certification required
Ability to handle stress under pressure
Willingness to maintain a clean, healthy, and safe working environment
Ability to coordinate multiple activities with attention to detail
Ability to work independently, with minimal supervision

Physical Demands and Work Environment

Ability to be flexible with job demands and open minded when being asked to complete tasks
Ability to operate and use all equipment necessary to run the restaurant
Ability to move or handle equipment throughout the restaurant generally weighing 0-50 pounds
Ability to work varied hours/days as business dictates
Ability to stand for up to 8-10 hours a day
Must be able to tolerate potential allergens: peanut products, egg, dairy, gluten, soy, seafood and shellfish

One Off Hospitality provides equal employment opportunities to all employees and applicants for employment and prohibits discrimination and harassment of any type without regard to race, color, religion, age, sex, national origin, disability status, genetics, protected veteran status, sexual orientation, gender identity or expression, or any other characteristic protected by federal, state or local laws.
This policy applies to all terms and conditions of employment, including recruiting, hiring, placement, promotion, termination, layoff, recall, transfer, leaves of absence, compensation and training.



 ",Required Years of Experience1 year,"Compensation DetailsCompensation: Hourly ($17.00) plus tipsBenefits & Perks: Health Insurance, Dental Insurance, Vision Insurance, Paid Time Off, 401k, Commuter Benefits, Potential Bonuses, Dining Discounts, Wellness Program",,False,True
"https://culinaryagents.com/jobs/461661-Open-Call
",bar avec,,Open Call,Full/Part Time • Hourly (Based on Experience),"Job Details

We are hosting a hiring event for the opening of our Bar avec location in the heart of River North this Friday from 11am-1pm. We are hiring for all front and back of house positions!
Details:

Date: March 10th
Time: 11am-1pm
Location: avec River North
Address: 141 W Erie St, Chicago, IL 60654
Job Types: Full-time, Part-time



Benefits:



401(k)
401(k) matching
Dental insurance
Employee assistance program
Employee discount
Flexible schedule
Flexible spending account
Food provided
Health insurance
Life insurance
Paid time off
Pet insurance
Vision insurance

Physical setting:

Fast casual restaurant

Schedule Options:

8 hour shift
Day shift
Evening shift
Monday to Friday
Weekend availability


",Required Years of Experience1 year,Compensation DetailsCompensation: Hourly (Based on Experience),,False,False
"https://culinaryagents.com/jobs/461646-Server
",Gather Chicago,,Server,Full Time • Hourly ($30.00 - $40.00),"Job DetailsAs we get ready for another amazing summer with our covered patio and open-air dining room, Gather is looking for talented front of house staff to join our team at our vibrant Lincoln Square restaurant. Ideal candidates will possess 2 years of experience in a professional dining environment with an outgoing, friendly, and dynamic personality.  We are seeking candidates who are driven to achieve excellence and are proud to work with great, local and seasonal product.  We are seeking candidates for a FULL TIME Server position that will work in a supportive team environment.  Requirements include a deep knowledge or curiosity of cuisine, wine + spirits and the ability to work well with a team. Exceptional candidates will possess a genuine passion for hospitality, experience in a quality-driven environment and a desire to exceed our neighborhood's expectations.
If you feel you meet these qualifications, we look forward to meeting you. Weekend availability, including weekend brunch availability required.
Please reply with resume.",Required Years of Experience1 year,Compensation DetailsCompensation: Hourly ($30.00 - $40.00),,False,False
"https://culinaryagents.com/jobs/461503-Cook-Walgreens-Healthy-Living-Cafe
",Aramark - Walgreens Healthy Living Cafe,,Cook Walgreens Healthy Living Cafe,Part Time • Hourly (Based on Experience),"Job DetailsJob DescriptionDo you love to cook? Are you passionate about food? As a Cook on our team, you’ll help bring recipes to life while being able to flex your creativity! Surrounded by fresh ingredients and the best equipment, you’ll be immersed in a world that goes beyond food preparation – experimenting with different cuisines, flavors, and cooking styles. At Aramark, we care about your health, so we have production guidelines and safety procedures in place to help you do what you love. Get ready to reach new heights, ignite your passion, and pursue what matters by cooking with us!  Job Responsibilities•    Essential functions and responsibilities of the position may vary by Aramark location based on client requirements and business needs.    •    Cooks and prepare a variety of food according to production guidelines and standardized recipes  •    Sets up workstation with all needed ingredients and equipment •    Prepares ingredients by measuring, weighing, mixing, chopping, trimming, and peeling food items •    Safely uses a variety of utensils including knives •    Operates equipment such as ovens, stoves, slicers, mixers, etc. •    Bakes, roasts, broils, steams, and uses a variety of cooking methods on meat, vegetables, and other foods •    Arranges, garnishes, and portions food according to established guidelines  •    Properly stores food by adhering to food safety policies and procedures •    Cleans and sanitizes work areas, equipment, and utensils  •    Maintains excellent customer service and positive demeanor towards guests, customers, clients, co-workers, etc. •    Adheres to Aramark safety policies and procedures including accurate food safety and sanitation  •    Ensures security of company assets   At Aramark, developing new skills and doing what it takes to get the job done make a positive impact for our employees and for our customers. In order to meet our commitments, job duties may change or new ones may be assigned without formal notice.Qualifications•    Experience as a cook or in a related role required•    Validated knowledge of the basic principles of food preparation, various cooking methods, and food safety regulations such as accurate food handling, sanitation, and storage•    Must be able to acquire food safety certification•    Demonstrate basic math and counting skills•    Demonstrates interpersonal communication skills, both written and verbalThis role may have physical demands including, but not limited to, lifting, bending, pushing, pulling and/or extended walking and standing. This role may also require uniforms and/or usage of Personal Protective Equipment (PPE).EducationAbout AramarkOur MissionRooted in service and united by our purpose, we strive to do great things for each other, our partners, our communities, and our planet.At Aramark, we believe that every employee should enjoy equal employment opportunity and be free to participate in all aspects of the company. We do not discriminate on the basis of race, color, religion, national origin, age, sex, gender, pregnancy, disability, sexual orientation, gender identity, genetic information, military status, protected veteran status or other characteristics protected by applicable law. About AramarkThe people of Aramark proudly serve millions of guests every day through food, facilities, and uniform services in 19 countries around the world. Rooted in service and united by our purpose, we strive to do great things for each other, our partners, our communities, and our planet. We believe a career should develop your talents, fuel your passions, and empower your professional growth. So, no matter what you're pursuing - a new challenge, a sense of belonging, or just a great place to work - our focus is helping you reach your full potential. Learn more about working here at http://www.aramarkcareers.com or connect with us on Facebook, Instagram and Twitter.",Required Years of Experience1 year,Compensation DetailsCompensation: Hourly (Based on Experience),,False,False
"https://culinaryagents.com/jobs/461318-Cook---Donald-E--Stephens-Convention-Center
",Aramark - Donald E. Stephens Convention Center,,Cook - Donald E. Stephens Convention Center,Part Time • Hourly (Based on Experience),"Job DetailsJob DescriptionDo you love to cook? Are you passionate about food? As a Cook on our team, you’ll help bring recipes to life while being able to flex your creativity! Surrounded by fresh ingredients and the best equipment, you’ll be immersed in a world that goes beyond food preparation – experimenting with different cuisines, flavors, and cooking styles. At Aramark, we care about your health, so we have production guidelines and safety procedures in place to help you do what you love. Get ready to reach new heights, ignite your passion, and pursue what matters by cooking with us!  Job Responsibilities•    Essential functions and responsibilities of the position may vary by Aramark location based on client requirements and business needs.    •    Cooks and prepare a variety of food according to production guidelines and standardized recipes  •    Sets up workstation with all needed ingredients and equipment •    Prepares ingredients by measuring, weighing, mixing, chopping, trimming, and peeling food items •    Safely uses a variety of utensils including knives •    Operates equipment such as ovens, stoves, slicers, mixers, etc. •    Bakes, roasts, broils, steams, and uses a variety of cooking methods on meat, vegetables, and other foods •    Arranges, garnishes, and portions food according to established guidelines  •    Properly stores food by adhering to food safety policies and procedures •    Cleans and sanitizes work areas, equipment, and utensils  •    Maintains excellent customer service and positive demeanor towards guests, customers, clients, co-workers, etc. •    Adheres to Aramark safety policies and procedures including accurate food safety and sanitation  •    Ensures security of company assets   This job profile does not contain a comprehensive listing of all required activities, duties, or responsibilities. Job duties, responsibilities and activities may change, or new ones may be assigned at any time with or without notice.Qualifications•    Experience as a cook or in a related role required•    Validated knowledge of the basic principles of food preparation, various cooking methods, and food safety regulations such as accurate food handling, sanitation, and storage•    Must be able to acquire food safety certification•    Demonstrate basic math and counting skills•    Demonstrates interpersonal communication skills, both written and verbalThis role may have physical demands including, but not limited to, lifting, bending, pushing, pulling and/or extended walking and standing. This role may also require uniforms and/or usage of Personal Protective Equipment (PPE).EducationAbout AramarkOur MissionRooted in service and united by our purpose, we strive to do great things for each other, our partners, our communities, and our planet.At Aramark, we believe that every employee should enjoy equal employment opportunity and be free to participate in all aspects of the company. We do not discriminate on the basis of race, color, religion, national origin, age, sex, gender, pregnancy, disability, sexual orientation, gender identity, genetic information, military status, protected veteran status or other characteristics protected by applicable law. About AramarkThe people of Aramark proudly serve millions of guests every day through food, facilities, and uniform services in 19 countries around the world. Rooted in service and united by our purpose, we strive to do great things for each other, our partners, our communities, and our planet. We believe a career should develop your talents, fuel your passions, and empower your professional growth. So, no matter what you're pursuing - a new challenge, a sense of belonging, or just a great place to work - our focus is helping you reach your full potential. Learn more about working here at http://www.aramarkcareers.com or connect with us on Facebook, Instagram and Twitter.",Required Years of Experience1 year,Compensation DetailsCompensation: Hourly (Based on Experience),,False,False
"https://culinaryagents.com/jobs/461222-Lead-Cook---Rosemont-Convention-Center---Donald-E--Stephens-Convention-Center
",Aramark - Donald E. Stephens Convention Center,,Lead Cook - Rosemont Convention Center - Donald E. Stephens Convention Center,Part Time • Hourly (Based on Experience),"Job DetailsJob DescriptionThe Lead Cook is responsible for cooking and preparing food using standard recipes and production guidelines while following food safety, food handling, and sanitation procedures. The individual in this role should safely handle knives and equipment including grills, fryers, ovens, broilers, etc. The Lead Cook may supervise employees and delegate responsibilities. The responsibilities of the position may vary by location based on client requirements and business needs.Job Responsibilities•    Schedules and assigns daily work activities to staff and supervises the completion of tasks.•    Trains and guides staff on job duties, standard food safety and sanitation procedures, cooking methods, etc.•    Cooks and prepares food following production guidelines and standardized recipes•    Sets up workstation with all needed ingredients and equipment•    Prepares ingredients by measuring, weighing, mixing, chopping, trimming, and peeling food items•    Safely uses all food utensils including knives•    Operates equipment such as ovens, stoves, slicers, mixers, etc.•    Bakes, roasts, broils, steams, and uses a variety of cooking methods on meats, vegetables, and other foods•    Arranges, garnishes, and portions food following established guidelines•    Properly stores food by following food safety policies and procedures•    Cleans and sanitizes work areas, equipment, and utensils•    Maintains excellent customer service with a positive attitude towards guests, customers, clients, co-workers, etc.•    Follows Aramark safety policies and procedures including food safety and sanitation•    Ensures security of company assets•    Produces and maintains work schedules and may prepare production records.This job profile does not contain a comprehensive listing of all required activities, duties, or responsibilities. Job duties, responsibilities and activities may change, or new ones may be assigned at any time with or without notice.Qualifications•    Previous supervisor experience in a related role preferred•    Experience as a cook or related role required•    Ability to work independently with limited supervision required•    Proven knowledge of the basic principles of food preparation, various cooking methods, and food safety regulations such as proper food handling, sanitation, and storage•    Food safety certification required•    Demonstrates basic math and counting skills•    Demonstrates effective interpersonal and communication skills, both written and verbalThis role may have physical demands including, but not limited to, lifting, bending, pushing, pulling and/or extended walking and standing. This role may also require uniforms and/or usage of Personal Protective Equipment (PPE).EducationAbout AramarkOur MissionRooted in service and united by our purpose, we strive to do great things for each other, our partners, our communities, and our planet.At Aramark, we believe that every employee should enjoy equal employment opportunity and be free to participate in all aspects of the company. We do not discriminate on the basis of race, color, religion, national origin, age, sex, gender, pregnancy, disability, sexual orientation, gender identity, genetic information, military status, protected veteran status or other characteristics protected by applicable law. About AramarkThe people of Aramark proudly serve millions of guests every day through food, facilities, and uniform services in 19 countries around the world. Rooted in service and united by our purpose, we strive to do great things for each other, our partners, our communities, and our planet. We believe a career should develop your talents, fuel your passions, and empower your professional growth. So, no matter what you're pursuing - a new challenge, a sense of belonging, or just a great place to work - our focus is helping you reach your full potential. Learn more about working here at http://www.aramarkcareers.com or connect with us on Facebook, Instagram and Twitter.",Required Years of Experience1 year,Compensation DetailsCompensation: Hourly (Based on Experience),,False,False
