listing_url,business_name,location,role_name,job_compensation1,job_details,job_requirements,comp_details,required_skills,great_fit_benefits_no_retirement,bad_fit_has_retirement
"https://culinaryagents.com/jobs/460625-Back-of-House-Staff?client_id=CA-SP-CULINARYAGENTS&s_id=49959&widget_name=job-search
",Lingua Franca,,Back of House Staff,Full Time • Hourly ($18.00) plus tips,Job DetailsHello! Lingua Franca is looking for full time AM/PM line cook and pastry cook positions! Come be a part of a great team. ,Required Years of Experience1 year,"Compensation DetailsCompensation: Hourly ($18.00) plus tipsBenefits & Perks: Health Insurance, Dining Discounts",Required Skills,True,False
"https://culinaryagents.com/jobs/460340-Restaurant-Manager?client_id=CA-SP-CULINARYAGENTS&s_id=49878&widget_name=job-search
",Guerrilla Tacos,,Restaurant Manager,Full Time • Salary ($65k - $75k),"Job Details
 



Guerrilla Tacos is unlike any restaurant in our city. We are eclectic and mismatched. Every member that joins our team must be as unique and special as our restaurant.
Our food is a love letter to the city of Los Angeles using Mexican food as a starting point. I love this city because of its unique ability to provide the best and most authentic ingredients from around the world in one place.
We are not authentic. Guerrilla Tacos is in a league of its own and my favorite thing about it is that we do whatever the hell we want.
Guerrilla Tacos is not only special because of its unique food but also because of the community that allows it to exist.
Here's What We'll Bring To The Table for Restaurant Manager:

Competitive Salary: $65,000 - $75,000 based on experience + realized bonus paid out by period
Paid Vacation and Sick Days
Dining Discount for you and up to 5 guests
Medical insurance, Dental insurance, Vision insurance

Our managers are held at a high standard with clear expectations to be the leader of the restaurant, the ambassadors of our product, and the executor of our hospitality. As the Restaurant Manager, you will be an integral member of our management team. You will support our seamless service while continuing to develop and coach your crew. You are the expert for the front of house operations of the restaurant and partner with the kitchen to execute quality product and service to each guest.
Essential Responsibilities for Restaurant Manager:

Oversees the daily operations from ordering, purchasing, receiving, storage, and preparation of all food products to guest relations, flow of business, and service standards.
Ensures team members adhere to Company guidelines and policies
Responsible for Guest experience in the building
Oversees the flow of the business during business hours. Being active in all areas of the restaurant (front desk, bar, kitchen, and main dining room) for the whole dining period. Walking the building to ensure all areas of service are being met to company standards and course correcting when needed.
Responsible for financial operations of restaurant in regards to service
Responsible for all human resource related to the crew
Forecasting the need for product based on inventory counts
Writes the schedules
Participates in creativity of developing incentive programs, generating sales and marketing services.
Ensures that all food products meet company recipe specifications for preparation and quality.
Recognition of crewmembers (coaching)
Makes labor management decisions each shift
Participates in interviews and selection of new crew.

Essential Skills/Experience for Restaurant Manager:

At least 21 years of age
Two years of experience as a Manager
Flexible schedule required-able to work nights, weekends and holidays
Good longevity in current and past positions
Ability to lift up to 40 lbs., 10-20 is typical
Ability to reach up to 6 feet, 2-4 is typical
Ability to move through 24 inch aisles and spaces as small as 12 inches




",Required Years of Experience1 year,"Compensation DetailsCompensation: Salary ($65,000.00 - $75,000.00)Benefits & Perks: Health Insurance, Dental Insurance, Vision Insurance, Paid Time Off, Potential Bonuses, Dining Discounts",,True,False
"https://culinaryagents.com/jobs/459956-Server-Assistant?client_id=CA-SP-CULINARYAGENTS&s_id=49828&widget_name=job-search
",Manzke,,Server Assistant,Full/Part Time • Weekly ($1.3k - $1.6k),"Job Details
Manzke Restaurant, the new Michelin-awarded fine dining destination by Chef Walter and Chef Margarita Manzke, is looking to hire a full-time Server Assistant.  This is a rare opportunity for an up-and-coming restaurant professional who is looking to grow their career.  This is a full-time job that requires a committment of five shifts per week, Tuesdays through Saturdays.  Dinner service only.  Generous compensation.  Full benefits.  Server Assistant duties:

Support the Service Captain and Maitre'D, as requested.
Responsible for detailed menu knowledge, for both food and beverage.
Attend the daily pre-shift line-up meeting to learn any important daily information about the menu and guest requests.
Complete all assigned pre-shift and closing side duties in a timely manner.
Provide joyful and professional service for our guests.
Expedite and run food to guests.
Able to describe (""spiel"") dishes to guests.
Able to perform table-side service, including saucing of dishes, truffle-shaving, and coffee/tea service.
Stock supplies, polishing silver, glass and dishware.
Setting, bussing and clearing tables.
Assist in the maintenance/cleaning of the facility.
Trash and recycling removal.
Monitor and observe guests' dining experiences.
Keeps the Manager, Chef and/or Maitre'D informed of any issues that might affect quality or timing of service.


 ",Required Years of Experience1 year,"Compensation DetailsCompensation: Weekly ($1,300.00 - $1,600.00)Benefits & Perks: Health Insurance, Dental Insurance, Vision Insurance, Dining Discounts",,True,False
"https://culinaryagents.com/jobs/459872-Pastry-Cook?client_id=CA-SP-CULINARYAGENTS&s_id=49824&widget_name=job-search
",Camphor ,,Pastry Cook,Full/Part Time • Hourly ($18.00 - $21.00) plus tips,"Job DetailsCAMPHOR is a modern bistro located in DTLA’s bustling Arts District led by Co-Executive Chefs Max Boonthanakit and Lijo George.
Camphor is all about easy & relaxed eating, and letting classic French flavors & culinary techniques do the talking. With a menu replete with personal nods to both chefs’ global upbringing, expect a mix of refreshing, refined, yet light fare in a relaxed convivial setting that harkens back to the basics with a shareable feast of small plates, alongside a vast selection of curated wines and curated cocktails to pair. We are seeking a PASTRY COOK to join our talented team. We are looking for talented Pastry cooks to join the team and further their experience.  We maintain a fine dining standard.  Candidates should have a strong work ethic and consider hospitality as their career.  Opportunities for growth are available within the company.The Pastry Line Cook's responsibilities are to set up and prepare quality products in all areas of the Pastry department.  Understanding and maintaining all standard pastry recipes.  Assisting in producing and plating pastries and desserts.Requirements:Formal pastry arts education or commensurate experience is preferred.  Knowledge of pastry preparation, presentation, and quality control. Able to follow instructions as a member of the teamAble to participate as a collaborative member of the teamReliable, hardworking, proactive & organizedAbility to prioritize tasks and adapt to ever-evolving situationsAble to work independently, without constant supervisionFlexible schedule, able to work nights, weekends, and some holidaysThe ideal candidates will have:

An eagerness to learn from a Michelin Star Team
A passion for high-quality ingredients and impeccable execution
A team player mentality, and a commitment to excellence and success
Must have a strong sense of urgency and the ability to work calmly under pressure
Self-motivated, with exceptional organization and communication skills
Must have the ability to multitask while maintaining the quality standards of the restaurant
Open Availability- nights and weekends a must!
",Required Years of Experience2 years,Compensation DetailsCompensation: Hourly ($18.00 - $21.00) plus tips,Required Skills,False,False
"https://culinaryagents.com/jobs/461561-Front-of-House-Staff
",LANDED - Los Angeles,,Front of House Staff,Full/Part Time • Hourly ($15.50),"Job DetailsOur Partner, CAVA is HIRING IMMEDIATELY via LANDED for Cashiers, and Front of House Team Members!
Benefits at CAVA?  
We’ve got you covered. Here are just some of the benefits available to CAVA team members: 

Competitive pay 
Health, Dental, Vision, Telemedicine, Pet Insurance plus more!* 
401k enrollment with CAVA contribution*  
Paid sick leave, parental leave, and community service leave* 
FREE CAVA Meal for every shift worked 
The opportunity to be on the ground floor of a rapidly growing brand 

At CAVA, we love what we do, and we try and make every day as fulfilling as the last. Our restaurants need team members to make the magic happen every day. Everyone matters and we’re here to celebrate your growth.  
We foster a culture built on five core values: 

Positivity – Every one of us can change someone’s day for the better. 
Transparency –We use transparency to help us make decisions through open dialogue  
Humility – We can always find ways to improve. 
Fanaticism – We are passionate about the opportunity to turn every guest into a fanatic. 
Thoughtfulness –We go above and beyond for our guests, our teams, and our communities. 

The Role:   
Team members are responsible for creating exceptional guest experiences for each customer, every time they walk through our doors. From greeting guests with a genuine passion to teaching customers about our menu and customizing for their personal preferences, to preparing top-quality food in our open kitchens – our team members do it all.  
What You’ll Do 

Enthusiastically educate guests about our menu and assemble orders as requested 
Keep the serving line, dining room, and restrooms clean and organized 
Follow recipes and procedures to maintain food quality and consistency 
Adhere to safety and sanitation procedures 
Restock stations and keep them clean and organized 
Ensure the overall cleanliness of the restaurant 
Deliver a delicious, unique, and memorable experience to each of our guests  
Put deliveries away, plus any additional duties assigned  
Ability to cross-train across the restaurant to ensure rapid growth 
May stand for long periods of time and lift up to 50 pounds 
Assist with any additional duties assigned 

Physical Requirements: 

Must be able to bend and reach overhead often 
Must possess dexterity to handle tongs, pots/pans, and other equipment 
Must be comfortable working in temperatures ranging from hot to cold 
Must be comfortable working near open flames 
May be required to work in tight spaces 
Must maintain near-constant communication with multiple people 
Close vision, distance vision, and peripheral vision is required 
Must be able to sit, squat, and kneel occasionally 
Must be able to work in a constant state of alertness and safe manner 
May be required to occasionally work in outdoor weather conditions 

As an equal opportunity employer, CAVA considers applicants for all positions without regard to race, color, sex, religion, national origin, disability, age, height, weight, marital status, sexual orientation, familial status, genetic information, or any other characteristic or protected classes as defined by federal, state, or local law.
",Required Years of Experience0-1 years,"Compensation DetailsCompensation: Hourly ($15.50)Benefits & Perks: Health Insurance, Dental Insurance, Vision Insurance, 401k, Potential Bonuses, Dining Discounts",,False,True
"https://culinaryagents.com/jobs/461549-Lead-Cook---Northrop-Grumman-Palmdale
",Aramark - Northrop Grumman Palmdale,,Lead Cook - Northrop Grumman Palmdale,Part Time • Hourly ($18.00 - $18.25),"Job DetailsJob DescriptionThe Lead Cook is responsible for cooking and preparing food using standard recipes and production guidelines while following food safety, food handling, and sanitation procedures. The individual in this role should safely handle knives and equipment including grills, fryers, ovens, broilers, etc. The Lead Cook may supervise employees and delegate responsibilities. The responsibilities of the position may vary by location based on client requirements and business needs. COMPENSATION: The hourly rate for this position ranges from $18.00 to $18.25, depending on circumstances including an applicant’s skills and qualifications, certain degrees and certifications, prior job experience, market data, and other relevant factors. Additional compensation may include a bonus or commission (if relevant). This is Aramark’s good faith and reasonable estimate of the range of compensation for this position as of the time of posting.Job Responsibilities•    Schedules and assigns daily work activities to staff and supervises the completion of tasks.•    Trains and guides staff on job duties, standard food safety and sanitation procedures, cooking methods, etc.•    Cooks and prepares food following production guidelines and standardized recipes•    Sets up workstation with all needed ingredients and equipment•    Prepares ingredients by measuring, weighing, mixing, chopping, trimming, and peeling food items•    Safely uses all food utensils including knives•    Operates equipment such as ovens, stoves, slicers, mixers, etc.•    Bakes, roasts, broils, steams, and uses a variety of cooking methods on meats, vegetables, and other foods•    Arranges, garnishes, and portions food following established guidelines•    Properly stores food by following food safety policies and procedures•    Cleans and sanitizes work areas, equipment, and utensils•    Maintains excellent customer service with a positive attitude towards guests, customers, clients, co-workers, etc.•    Follows Aramark safety policies and procedures including food safety and sanitation•    Ensures security of company assets•    Produces and maintains work schedules and may prepare production records.At Aramark, developing new skills and doing what it takes to get the job done make a positive impact for our employees and for our customers. In order to meet our commitments, job duties may change or new ones may be assigned without formal notice.Qualifications•    Previous supervisor experience in a related role preferred•    Experience as a cook or related role required•    Ability to work independently with limited supervision required•    Proven knowledge of the basic principles of food preparation, various cooking methods, and food safety regulations such as proper food handling, sanitation, and storage•    Food safety certification required•    Demonstrates basic math and counting skills•    Demonstrates effective interpersonal and communication skills, both written and verbalThis role may have physical demands including, but not limited to, lifting, bending, pushing, pulling and/or extended walking and standing. This role may also require uniforms and/or usage of Personal Protective Equipment (PPE).EducationAbout AramarkOur MissionRooted in service and united by our purpose, we strive to do great things for each other, our partners, our communities, and our planet.At Aramark, we believe that every employee should enjoy equal employment opportunity and be free to participate in all aspects of the company. We do not discriminate on the basis of race, color, religion, national origin, age, sex, gender, pregnancy, disability, sexual orientation, gender identity, genetic information, military status, protected veteran status or other characteristics protected by applicable law. About AramarkThe people of Aramark proudly serve millions of guests every day through food, facilities, and uniform services in 19 countries around the world. Rooted in service and united by our purpose, we strive to do great things for each other, our partners, our communities, and our planet. We believe a career should develop your talents, fuel your passions, and empower your professional growth. So, no matter what you're pursuing - a new challenge, a sense of belonging, or just a great place to work - our focus is helping you reach your full potential. Learn more about working here at http://www.aramarkcareers.com or connect with us on Facebook, Instagram and Twitter.",Required Years of Experience1 year,Compensation DetailsCompensation: Hourly ($18.00 - $18.25),,False,False
"https://culinaryagents.com/jobs/461385-Dishwasher----University-of-Southern-California-Galen-Center
",Aramark - University of Southern California,,Dishwasher -  University of Southern California-Galen Center,Part Time • Hourly ($16.04),"Job DetailsJob DescriptionHere at Aramark, we take pride in the level of service and safety we provide. We’re hiring a Dishwasher to join our team who will take on the job of maintaining the cleanliness of our operations and kitchens. The best part? It’s just the starting point of your career! It’s time to clean your path and pursue what matters to you. Essential functions and responsibilities of the position may vary by Aramark location based on client requirements and business needs. COMPENSATION: The hourly rate for this position ranges from $16.04, depending on circumstances including an applicant’s skills and qualifications, certain degrees and certifications, prior job experience, market data, and other relevant factors. Additional compensation may include a bonus or commission (if relevant). This is Aramark’s good faith and reasonable estimate of the range of compensation for this position as of the time of posting.Job Responsibilities•    Ensure guest satisfaction by maintaining all dishes, pots, pans, silverware, glasses, equipment, and kitchen utensils are cleaned and sanitized•    Maintains dishwashing station, three compartment sink and related areas cleaned•    Ensures equipment is clean and in working condition; reports any issues to management•    Performs other light maintenance and custodial tasks•    Maintains excellent customer service and positive attitude towards guest, customers, clients, co-workers, etc.•    Adheres to Aramark safety policies and procedures including proper food safety and sanitation•    Ensures security of company assetsThis job profile does not contain a comprehensive listing of all required activities, duties, or responsibilities. Job duties, responsibilities and activities may change, or new ones may be assigned at any time with or without notice.Qualifications•    Demonstrates an understanding of basic sanitation procedures•    Must be able to follow basic safety procedures due to exposure to hazardous chemicals•    Must be available to work flexible hours including evenings and weekendsThis job profile does not contain a comprehensive listing of all required activities, duties, or responsibilities. Job duties, responsibilities and activities may change, or new ones may be assigned at any time with or without notice. EducationAbout AramarkOur MissionRooted in service and united by our purpose, we strive to do great things for each other, our partners, our communities, and our planet.At Aramark, we believe that every employee should enjoy equal employment opportunity and be free to participate in all aspects of the company. We do not discriminate on the basis of race, color, religion, national origin, age, sex, gender, pregnancy, disability, sexual orientation, gender identity, genetic information, military status, protected veteran status or other characteristics protected by applicable law. About AramarkThe people of Aramark proudly serve millions of guests every day through food, facilities, and uniform services in 19 countries around the world. Rooted in service and united by our purpose, we strive to do great things for each other, our partners, our communities, and our planet. We believe a career should develop your talents, fuel your passions, and empower your professional growth. So, no matter what you're pursuing - a new challenge, a sense of belonging, or just a great place to work - our focus is helping you reach your full potential. Learn more about working here at http://www.aramarkcareers.com or connect with us on Facebook, Instagram and Twitter.",Required Years of Experience1 year,Compensation DetailsCompensation: Hourly ($16.04),,False,False
"https://culinaryagents.com/jobs/461265-Line-%2526-Prep-Cook---Bazille---Thousand-Oaks
",Nordstrom - Thousand Oaks,,Line & Prep Cook - Bazille - Thousand Oaks,Full/Part Time • Salary/Hourly ($22.05 - $22.95),"Job DetailsJob DescriptionThe ideal line cook is motivated, results oriented and committed to providing outstanding customer service every day.  A day in the life… Prepare food items consistently and adhere to all recipe standards Maintain a safe working environment by using proper food handling skills and food safety guidelines  Complete kitchen tasks such as line setup, food preparation, cleanup and breakdown The hours and schedule for this position will vary by week depending on business needs  You own this if you have… The ability to communicate clearly and professionally with customers and coworkers Successfully thrived in a fast-paced environment  The ability to work a flexible schedule A food handler’s card where required by local and state regulations 1+ year experience in food service/hospitality (preferred) We’ve got you covered…Our employees are our most important asset and that’s reflected in our benefits. Nordstrom is proud to offer a variety of benefits to support employees and their families, including:Medical/Vision, Dental, Retirement and Paid Time AwayLife Insurance and DisabilityMerchandise Discount and EAP ResourcesA few more important points...The job posting highlights the most critical responsibilities and requirements of the job. It’s not all-inclusive. There may be additional duties, responsibilities and qualifications for this job.Nordstrom will consider qualified applicants with criminal histories in a manner consistent with all legal requirements.Applicants with disabilities who require assistance or accommodation should contact the nearest Nordstrom location, which can be identified at www.nordstrom.com. © 2022 Nordstrom, Inc  Current Nordstrom employees: To apply, log into Workday, click the Careers button and then click Find Jobs.Pay Range DetailsThe pay range(s) below are provided in compliance with state specific laws. Pay ranges may be different in other locations.California: $22.05-$22.95 hourly",Required Years of Experience1 year,Compensation DetailsCompensation: Salary/Hourly ($22.05 - $22.95),,False,False
"https://culinaryagents.com/jobs/461264-Full-Service-Server---Ruscello---South-Coast-Plaza
",Nordstrom - South Coast Plaza,,Full Service Server - Ruscello - South Coast Plaza,Full/Part Time • Salary/Hourly ($16.15),"Job DetailsJob DescriptionThe ideal Full Service Server is self-motivated and committed to providing outstanding customer service every day. A day in the life… Be knowledgeable and enthusiastic about the restaurant's menu and products while serving customers  Suggest additional items to customers, as appropriate Support other areas of the restaurant as requested, such as answering telephones and completing financial transactions You own this if you have… 1+ year experience in food service/hospitality preferred The ability to communicate clearly and professionally with customers and coworkers Thrived in a fast-paced environment and embraced working a flexible schedule A food handler’s card where required by local and state regulationsWe’ve got you covered…Our employees are our most important asset and that’s reflected in our benefits. Nordstrom is proud to offer a variety of benefits to support employees and their families, including:Medical/Vision, Dental, Retirement and Paid Time AwayLife Insurance and DisabilityMerchandise Discount and EAP ResourcesA few more important points...The job posting highlights the most critical responsibilities and requirements of the job. It’s not all-inclusive. There may be additional duties, responsibilities and qualifications for this job.Nordstrom will consider qualified applicants with criminal histories in a manner consistent with all legal requirements.Applicants with disabilities who require assistance or accommodation should contact the nearest Nordstrom location, which can be identified at www.nordstrom.com. © 2022 Nordstrom, Inc  Current Nordstrom employees: To apply, log into Workday, click the Careers button and then click Find Jobs.Pay Range DetailsThe pay range(s) below are provided in compliance with state specific laws. Pay ranges may be different in other locations.California: $16.15-$16.15 hourly",Required Years of Experience1 year,Compensation DetailsCompensation: Salary/Hourly ($16.15),,False,False
"https://culinaryagents.com/jobs/461128-Cook---California-State-University---Dominguez-Hills
",Aramark - California State University Dominguez Hills,,Cook - California State University - Dominguez Hills,Part Time • Hourly ($15.00 - $17.00),"Job DetailsJob DescriptionDo you love to cook? Are you passionate about food? As a Cook on our team, you’ll help bring recipes to life while being able to flex your creativity! Surrounded by fresh ingredients and the best equipment, you’ll be immersed in a world that goes beyond food preparation – experimenting with different cuisines, flavors, and cooking styles. At Aramark, we care about your health, so we have production guidelines and safety procedures in place to help you do what you love. Get ready to reach new heights, ignite your passion, and pursue what matters by cooking with us!   COMPENSATION: The hourly rate for this position ranges from $15.00 to $17.00, depending on circumstances including an applicant’s skills and qualifications, certain degrees and certifications, prior job experience, market data, and other relevant factors. Additional compensation may include a bonus or commission (if relevant). This is Aramark’s good faith and reasonable estimate of the range of compensation for this position as of the time of posting.Job Responsibilities•    Essential functions and responsibilities of the position may vary by Aramark location based on client requirements and business needs.    •    Cooks and prepare a variety of food according to production guidelines and standardized recipes  •    Sets up workstation with all needed ingredients and equipment •    Prepares ingredients by measuring, weighing, mixing, chopping, trimming, and peeling food items •    Safely uses a variety of utensils including knives •    Operates equipment such as ovens, stoves, slicers, mixers, etc. •    Bakes, roasts, broils, steams, and uses a variety of cooking methods on meat, vegetables, and other foods •    Arranges, garnishes, and portions food according to established guidelines  •    Properly stores food by adhering to food safety policies and procedures •    Cleans and sanitizes work areas, equipment, and utensils  •    Maintains excellent customer service and positive demeanor towards guests, customers, clients, co-workers, etc. •    Adheres to Aramark safety policies and procedures including accurate food safety and sanitation  •    Ensures security of company assets   This job profile does not contain a comprehensive listing of all required activities, duties, or responsibilities. Job duties, responsibilities and activities may change, or new ones may be assigned at any time with or without notice.Qualifications•    Experience as a cook or in a related role required•    Validated knowledge of the basic principles of food preparation, various cooking methods, and food safety regulations such as accurate food handling, sanitation, and storage•    Must be able to acquire food safety certification•    Demonstrate basic math and counting skills•    Demonstrates interpersonal communication skills, both written and verbalThis role may have physical demands including, but not limited to, lifting, bending, pushing, pulling and/or extended walking and standing. This role may also require uniforms and/or usage of Personal Protective Equipment (PPE).EducationAbout AramarkOur MissionRooted in service and united by our purpose, we strive to do great things for each other, our partners, our communities, and our planet.At Aramark, we believe that every employee should enjoy equal employment opportunity and be free to participate in all aspects of the company. We do not discriminate on the basis of race, color, religion, national origin, age, sex, gender, pregnancy, disability, sexual orientation, gender identity, genetic information, military status, protected veteran status or other characteristics protected by applicable law. About AramarkThe people of Aramark proudly serve millions of guests every day through food, facilities, and uniform services in 19 countries around the world. Rooted in service and united by our purpose, we strive to do great things for each other, our partners, our communities, and our planet. We believe a career should develop your talents, fuel your passions, and empower your professional growth. So, no matter what you're pursuing - a new challenge, a sense of belonging, or just a great place to work - our focus is helping you reach your full potential. Learn more about working here at http://www.aramarkcareers.com or connect with us on Facebook, Instagram and Twitter.",Required Years of Experience1 year,Compensation DetailsCompensation: Hourly ($15.00 - $17.00),,False,False
