listing_url,business_name,location,role_name,job_compensation1,job_details,job_requirements,comp_details,required_skills,great_fit_benefits_no_retirement,bad_fit_has_retirement
"https://culinaryagents.com/jobs/459780-General-Manager?client_id=CA-SP-CULINARYAGENTS&s_id=49793&widget_name=job-search
",At The Table BYOB,,General Manager,Full Time • Salary (Based on Experience),"Job DetailsAt The Table BYOB is seeking canidates for General Managment enhance our team. Qualified canidates for this position are well experienced and can demonstrate a proven track record of growth, fiscal responsibility and above all customer service.We offer generous benefits including:

Salary package with bonus potential
Dining allowances for Family
Staff meals and discounts

We are looking for someone that shares a passion for hospitality, hands-on service, and is capable of building and maintaining teams.The Restaurant General Manager's focus is leading the FOH team and administrative operations; positioning the business for growth; establishing and maintaining good procedures throughout the physical space and ensuring good administrative and training practices are followed. This position will work in recruiting new staff and refining the service team; achieving objectives in sales, costs, profitability, and guest service and satisfaction; through overseeing the day-to-day operations.A minimum of 2 years experience managing the floor of a fine dining restaurant is required. We are looking for canidates with a strong work ethic, who are results orientated, who are driven, accept personal responsibility and exude positive energy. Candidates must have the ability to build and inspire service teams and lead by example. No job is too small and no detail insignificant, someone who deeply cares about customer satisfaction and exudes hospitality. The ideal candidate will also possess a demonstrable interest and understanding of both food and wine, and who will excel in a fast paced, high-energy environment.Qualified Applicants must have:

2 years of fine dining restaurant management and adminstrative experience
Knowledge of employment regulations and laws
Knowledge and understanding of Restaurant Financials
Strong skills in guest and employee relations

Applicants should include a Cover Letter with resume indicating the following:

Overview of primary achievements in past positions
Explanation of Management Style and wine knowledge
",Required Years of Experience2 years,"Compensation DetailsCompensation: Salary (Based on Experience)Benefits & Perks: Potential Bonuses, Dining Discounts",Required Skills,True,False
"https://culinaryagents.com/jobs/459267-Server?client_id=CA-SP-CULINARYAGENTS&s_id=49707&widget_name=job-search
",Bluejacket,,Server,Full/Part Time • Hourly (Based on Experience) plus tips,"Job DetailsWe are a forward-thinking, full production brewery in DC housing an exciting restaurant and bar, located a few blocks from Nationals Stadium & Yards Park in the heart of the burgeoning Navy Yard neighborhood. With 20 drafts and 5 casks of unique beers all brewed in house, we're looking for servers with a shared passion for food and beverage to join our team. Responsibilities of the server position include but are not limited to: -Learning about and educating guests on our extensive craft beer, wine, and liquor programs -Learning about and educating guests on our daily changing menu and how to properly pair food & beverage -Precise order taking and correctly sending information to the kitchen -Constant communication with management, kitchen, bar, host, and fellow floor staff regarding guests likes, dislikes, special needs, potential issues, etc. -Providing guests with a true dining experience, not just another meal As with all Neighborhood Restaurant Group restaurants, our main focus is on hospitality and providing the best overall experience for every guest. We provide an environment that encourages staff education and professional growth, but most importantly, we want our staff to have fun and truly enjoy being part of this experience",Required Years of Experience1 year,"Compensation DetailsCompensation: Hourly (Based on Experience) plus tipsBenefits & Perks: Health Insurance, Dental Insurance, Vision Insurance, Dining Discounts",,True,False
"https://culinaryagents.com/jobs/456134-Executive-Sous-Chef?client_id=CA-SP-CULINARYAGENTS&s_id=49479&widget_name=job-search
",Terrain Cafe - Devon,,Executive Sous Chef,Full Time • Salary ($70k - $75k),"Job Details


We are looking for an Executive Sous Chef to lead our event teams and ensure the best service for our customers in our beautiful event space located in Devon, PA! Our vibrant, seasonal menus are inspired by the communities that we serve. We strive to connect with our customers and become their favorite destination no matter what the occasion.


Our ideal candidate will ensure compliance with all food & beverage policies, standards, and procedures by training, supervising, follow-up, and hands-on management. Our Executive Sous Chefs are also expected to employ their culinary and managerial skills in order to maintain and enhance our customers’ satisfaction.


We are looking for a seasoned professional, who wants to grow with our team. You must be able to maintain a positive work atmosphere and work well in high-pressure situations. As an Executive Sous Chef, you will be committed to safe food handling, cleanliness, safety, and sanitation standards during the shift. Catering experience is a must for this role! Our ideal candidate is able to handle family style and plated dinner for 100 people or more.


",Required Years of Experience3 years,"Compensation DetailsCompensation: Salary ($70,000.00 - $75,000.00)Benefits & Perks: Health Insurance, Dental Insurance, Vision Insurance, Paid Time Off, 401k, Potential Bonuses, Wellness Program, employee discount",Required Skills,False,True
"https://culinaryagents.com/jobs/456048-Chef-de-Cuisine?client_id=CA-SP-CULINARYAGENTS&s_id=49464&widget_name=job-search
",At The Table BYOB,,Chef de Cuisine,Full Time • Salary (Based on Experience),"Job DetailsHighly-acclaimed At The Table BYOB, from Chef's Tara and Alex Hardy, is looking for energetic & passionate CHEF DE CUISINE to join the team. At The Table BYOB redefines the Main Line with its high-end global cuisine, offers employees the opportunity to work with quality ingredients from around the world, a respectful, safe, professional work environment, and a management team uniquely invested in the growth and success of all team members. Responsibilities include:Serve as the leader of our talented and diverse culinary team and restaurant, preparing and executing the menu at direction of Executive Chefs with utmost quality and precisionLearn and handle the various stations (garde manger, pasta, grill, saute, pastry), which includes preparing and cleaning stations properly, stocking stations adequately for service, and communicating actively with colleagues to facilitate smooth and efficient kitchenWork and expedite in a high volume and intensity kitchen and work environment and be able to handle rigors of busy services while maintaining quality and consistencySupport other areas of the kitchen as needed, and be able and willing to assist teammates in the kitchen as needed, including handling duties of other stationsRequirements include:At least 2 years of relevant restaurant experience preferredConsiderable working knowledge of relevant food preparationGenuine passion for cooking, restaurant hospitality and learning new skillsHighly organized, productive, and able to work meticulously in a high-intensity kitchen / work environmentEnergetic and friendly personality, with strong willingness and ability to work as part of a cohesive team and to support colleagues regardless of roleWillingness to take direction from Executive Chefs, embrace change and innovation, and to learn and adapt to new systems, service steps and health and cleaning proceduresBroad and flexible availability to work – AM/PM service and prep/productionPhysical requirements include: ability to handle and carry trays, smallware, equipment, or other items up to 35lbs, and to stand, walk up and down stairs, and exert well-paced mobility for extended period of time We offer COMPETITIVE COMPENSATION and discounts after 30 days of employment for full time employees. If you are interested in joining the At The Table team, please submit your resume. Attachments that cannot be opened will not be considered.Compensation: Based on experienceAt The Table BYOB is an Equal Opportunity Employer.",Required Years of Experience2 years,Compensation DetailsCompensation: Salary (Based on Experience)Benefits & Perks: Dining Discounts,Required Skills,True,False
"https://culinaryagents.com/jobs/461645-Server
",HOMEROOM,,Server,Full/Part Time • Hourly (Based on Experience) plus tips,"Job DetailsHOMEROOM is seeking a passionate front-of-house team member to join its crew. Open from 7am-4pm, 6 days per week, Homeroom offers light breakfast, a seasonally-driven lunch menu, and a concise coffee and beverage program with Ox Coffee at the forefront. Helmed by CookNSolo alum chef Henry Morgan, Homeroom opened in March of 2022. Our goal is to reintroduce what a small neighborhood cafe can be, by dishing up simple yet inventive cuisine and elevated, genuine hospitality. We aim to be a part of the everyday experience of this community, a daily pick me up, and a welcoming place to gather where you can start, spend, or end your day.Candidates are:-Committed to the guest experience-Punctual, clean, hardworking and value being a part of a team in a growth-oriented environment-Passionate about serving high quality food and beverage backed by exceptional hospitality-Efficient communicators, with both team members and guests alike-Problem solvers and able to handle any situation, with a think-on-your-feet mentality-Excited to jump in and wear multiple hatsBoth full and part-time positions available.Competitive hourly wages based on experience, plus tips. Tips average $10-$12 additional per hour.A minimum of one year experience in a high volume setting is preferred but we are willing to train the right person with the right attitude! Please respond with your resume and a brief introduction.www.homeroomgladwyne.com",Required Years of Experience1 year,Compensation DetailsCompensation: Hourly (Based on Experience) plus tipsBenefits & Perks: Paid Time Off,,True,False
"https://culinaryagents.com/jobs/461644-Line-Cook
",Independence Beer Garden,,Line Cook,Full Time • Hourly ($17.00 - $21.00),"Job Details
Essential Functions
Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.

Sets up assigned station to prepare for service.
Maintains cleanliness and mis en place of station throughout service.
Responsible for proper preparation of food items on assigned station(s).
Responsible for identifying items prepared for guests with allergies and dietary restrictions.
Works as a team with other Line Cooks, Prep Cooks, Dishwashers and FOH & BOH Management teams.
Ensures Schulson Collective steps of service are met at all times.
Notifies Chefs of any lags on items from assigned station(s).
Creates memorable experience to build repeat business.
May be assigned as Garde Manger, Pastry Cook or Butcher.

Physical Demands
The employee must occasionally lift and/or move up to 50 pounds and occasionally push and/or pull up to 75 pounds. The employee will spend over 4 hours daily standing or walking.
Required Education and Experience

High school diploma preferred.
Minimum one (1) to two (2) prior experience in high volume, fine-casual or fine-dining environments.
Must have excellent knife skills.
Must be able to work well under pressure.
Must be able to efficiently work as a team and assist co-workers when needed.
Passion for high-quality ingredients


For more information on the Schulson Collective please visit www.michaelschulson.com
 ",Required Years of Experience1 year,"Compensation DetailsCompensation: Hourly ($17.00 - $21.00)Benefits & Perks: Health Insurance, Dental Insurance, Vision Insurance, Paid Time Off, Potential Bonuses",,True,False
"https://culinaryagents.com/jobs/461628-Busser
",Butcher and Singer,,Busser,Full Time • Hourly (Based on Experience),"Job DetailsA homage to the glitz and class of 1940s Hollywood, Butcher and Singer, affiliated with STARR Restaurants, reaches into the past, plucking the best and brightest aspects of a bygone era. Built around an unparalleled selection of perfectly charred steaks and chops, the menu doesn’t end with meat — an extensive raw bar, plus iconic entrees like the Twin Lobster Tails and Shrimp & Crab Louie, pair perfectly with classic cocktails like martinis and manhattans. Warm, personalized service ensures you’ll feel like a true celebrity of the Golden Era decades after the fact.We are seeking Bussers with a positive attitude and a desire to work with a supportive and fun team! Applicants must have excellent customer service skills, be efficient, and detail oriented.We Offer: An opportunity for career advancement and professional growth.                                     Qualified Bussers will have:

Experience as a Bussers, SA, or similar role in a busy/ well-rated restaurant
Ability to work well with others including servers and chefs alike
Full-time availability including days, nights and weekends
Team players with a strong work ethic and dedicated to the craft of being a student of the industry
Responsible & timely, willing to take direction


Butcher and Singer is an equal opportunity employer. All applicants will be considered for employment without attention to race, color, religion, sex, sexual orientation, gender identity, national origin, veteran or disability status.",Required Years of Experience0-1 years,"Compensation DetailsCompensation: Hourly (Based on Experience)Benefits & Perks: Health Insurance, Dental Insurance, Vision Insurance, Commuter Benefits, Dining Discounts",Required Skills,True,False
"https://culinaryagents.com/jobs/461606-Cook---Robbinsville-School-District
",Aramark - Robbinsville School District,,Cook - Robbinsville School District,Part Time • Hourly (Based on Experience),"Job DetailsJob DescriptionDo you love to cook? Are you passionate about food? As a Cook on our team, you’ll help bring recipes to life while being able to flex your creativity! Surrounded by fresh ingredients and the best equipment, you’ll be immersed in a world that goes beyond food preparation – experimenting with different cuisines, flavors, and cooking styles. At Aramark, we care about your health, so we have production guidelines and safety procedures in place to help you do what you love. Get ready to reach new heights, ignite your passion, and pursue what matters by cooking with us!  Job Responsibilities•    Essential functions and responsibilities of the position may vary by Aramark location based on client requirements and business needs.    •    Cooks and prepare a variety of food according to production guidelines and standardized recipes  •    Sets up workstation with all needed ingredients and equipment •    Prepares ingredients by measuring, weighing, mixing, chopping, trimming, and peeling food items •    Safely uses a variety of utensils including knives •    Operates equipment such as ovens, stoves, slicers, mixers, etc. •    Bakes, roasts, broils, steams, and uses a variety of cooking methods on meat, vegetables, and other foods •    Arranges, garnishes, and portions food according to established guidelines  •    Properly stores food by adhering to food safety policies and procedures •    Cleans and sanitizes work areas, equipment, and utensils  •    Maintains excellent customer service and positive demeanor towards guests, customers, clients, co-workers, etc. •    Adheres to Aramark safety policies and procedures including accurate food safety and sanitation  •    Ensures security of company assets   At Aramark, developing new skills and doing what it takes to get the job done make a positive impact for our employees and for our customers. In order to meet our commitments, job duties may change or new ones may be assigned without formal notice.Qualifications•    Experience as a cook or in a related role required•    Validated knowledge of the basic principles of food preparation, various cooking methods, and food safety regulations such as accurate food handling, sanitation, and storage•    Must be able to acquire food safety certification•    Demonstrate basic math and counting skills•    Demonstrates interpersonal communication skills, both written and verbalThis role may have physical demands including, but not limited to, lifting, bending, pushing, pulling and/or extended walking and standing. This role may also require uniforms and/or usage of Personal Protective Equipment (PPE).EducationAbout AramarkOur MissionRooted in service and united by our purpose, we strive to do great things for each other, our partners, our communities, and our planet.At Aramark, we believe that every employee should enjoy equal employment opportunity and be free to participate in all aspects of the company. We do not discriminate on the basis of race, color, religion, national origin, age, sex, gender, pregnancy, disability, sexual orientation, gender identity, genetic information, military status, protected veteran status or other characteristics protected by applicable law. About AramarkThe people of Aramark proudly serve millions of guests every day through food, facilities, and uniform services in 19 countries around the world. Rooted in service and united by our purpose, we strive to do great things for each other, our partners, our communities, and our planet. We believe a career should develop your talents, fuel your passions, and empower your professional growth. So, no matter what you're pursuing - a new challenge, a sense of belonging, or just a great place to work - our focus is helping you reach your full potential. Learn more about working here at http://www.aramarkcareers.com or connect with us on Facebook, Instagram and Twitter.",Required Years of Experience1 year,Compensation DetailsCompensation: Hourly (Based on Experience),,False,False
"https://culinaryagents.com/jobs/461386-Cook---Freshens---West-Chester-Univ-
",Aramark - West Chester University,,Cook - Freshens - West Chester Univ.,Part Time • Hourly (Based on Experience),"Job DetailsJob DescriptionThe Cook is responsible for cooking and preparing food according to recipes and production guidelines while adhering to food safety, food handling, and sanitation procedures.  The Cook should safely handle knives and equipment such as grills, fryers, ovens, broilers, etc. Job Responsibilities•    Essential functions and responsibilities of the position may vary by Aramark location based on client requirements and business needs.    •    Cooks and prepare a variety of food according to production guidelines and standardized recipes  •    Sets up workstation with all needed ingredients and equipment •    Prepares ingredients by measuring, weighing, mixing, chopping, trimming, and peeling food items •    Safely uses a variety of utensils including knives •    Operates equipment such as ovens, stoves, slicers, mixers, etc. •    Bakes, roasts, broils, steams, and uses a variety of cooking methods on meat, vegetables, and other foods •    Arranges, garnishes, and portions food according to established guidelines  •    Properly stores food by adhering to food safety policies and procedures •    Cleans and sanitizes work areas, equipment, and utensils  •    Maintains excellent customer service and positive demeanor towards guests, customers, clients, co-workers, etc. •    Adheres to Aramark safety policies and procedures including accurate food safety and sanitation  •    Ensures security of company assets   This job profile does not contain a comprehensive listing of all required activities, duties, or responsibilities. Job duties, responsibilities and activities may change, or new ones may be assigned at any time with or without notice.Qualifications•    Experience as a cook or in a related role required•    Validated knowledge of the basic principles of food preparation, various cooking methods, and food safety regulations such as accurate food handling, sanitation, and storage•    Must be able to acquire food safety certification•    Demonstrate basic math and counting skills•    Demonstrates interpersonal communication skills, both written and verbalThis role may have physical demands including, but not limited to, lifting, bending, pushing, pulling and/or extended walking and standing. This role may also require uniforms and/or usage of Personal Protective Equipment (PPE).EducationAbout AramarkOur MissionRooted in service and united by our purpose, we strive to do great things for each other, our partners, our communities, and our planet.At Aramark, we believe that every employee should enjoy equal employment opportunity and be free to participate in all aspects of the company. We do not discriminate on the basis of race, color, religion, national origin, age, sex, gender, pregnancy, disability, sexual orientation, gender identity, genetic information, military status, protected veteran status or other characteristics protected by applicable law. About AramarkThe people of Aramark proudly serve millions of guests every day through food, facilities, and uniform services in 19 countries around the world. Rooted in service and united by our purpose, we strive to do great things for each other, our partners, our communities, and our planet. We believe a career should develop your talents, fuel your passions, and empower your professional growth. So, no matter what you're pursuing - a new challenge, a sense of belonging, or just a great place to work - our focus is helping you reach your full potential. Learn more about working here at http://www.aramarkcareers.com or connect with us on Facebook, Instagram and Twitter.",Required Years of Experience1 year,Compensation DetailsCompensation: Hourly (Based on Experience),,False,False
"https://culinaryagents.com/jobs/461317-Lead-Cook---Spring-Ford-Area-School-District---High-School
",Aramark - Ford Area School District,,Lead Cook - Spring-Ford Area School District - High School,Part Time • Hourly (Based on Experience),"Job DetailsPosition Summary: The Lead Cook is responsible for cooking and preparing food according to recipes and production guidelines while adhering to food safety, food handling, and sanitation procedures. The individual should safely handle knives and equipment such as grills, fryers, ovens, broilers, etc. The Lead Cook may be responsible for oversight or delegation of responsibilities within the culinary operation. Essential functions and responsibilities of the position may vary by Aramark location based on client requirements and business needs.  Essential Functions:Schedules and assigns daily work assignments to a food service team and oversees the completion of tasksTrains and guides staff on job duties, proper food safety and sanitation procedures, cooking methods, etc.Cooks and prepare a variety of food according to production guidelines and standardized recipesSets up workstation with all needed ingredients and equipmentPrepares ingredients by measuring, weighing, mixing, chopping, trimming, and peeling food itemsSafely utilizes a variety of utensils including knifesOperates equipment such as ovens, stoves, slicers, mixers, etc.Bakes, roasts, broils, steams, and uses a variety of cooking methods on meat, vegetables, and other foodsArranges, garnishes, and portions food according to established guidelinesProperly stores food by adhering to food safety policies and proceduresCleans and sanitizes work areas, equipment, and utensilsMaintains excellent customer service and positive attitude towards guest, customers, clients, co-workers, etc. Adheres to Aramark safety policies and procedures including proper food safety and sanitationEnsures security of company assetsOther duties and tasks as assigned by manager ",Required Years of Experience1 year,Compensation DetailsCompensation: Hourly (Based on Experience),,False,False
