listing_url,business_name,location,role_name,job_compensation1,job_details,job_requirements,comp_details,required_skills,great_fit_benefits_no_retirement,bad_fit_has_retirement
"https://culinaryagents.com/jobs/460152-Kitchen-Manager?client_id=CA-SP-CULINARYAGENTS&s_id=49842&widget_name=job-search
",Slutty Vegan,,Kitchen Manager,Full Time • Salary ($60k - $70k),"Job Details
Slutty Vegan is an Atlanta based fast casual vegan revolutionary movement! We offer fun, high-energy experiences- plant-based burgers, piled high with sauce, toppings & other hearty vegan eats. Slutty Vegan’s mission is to create enjoyable, community-oriented experiences for all people to enjoy and provide more(vegan) options than the norm. 
The Role: 
Reporting into the District Manager, the Kitchen Manager will oversee the Brooklyn based cloud kitchen ensuring operational success for Slutty Vegans catering business. A successful Kitchen Manager will be able to manage a kitchen staff and guide them to deliver quality food on time and to brand standards.
POSITION ACCOUNTABILITIES: 

Minimum 3 years of culinary managerial experience required, within a vegan restaurant concept- a plus. 
3 years experience with P&L responsibility, preferably in the Hospitality industry. 
Relevant experience or training, which may be demonstrated via degree or certificate, completion of apprenticeship, or other experience necessary to become trained as a highly skilled professional cook. 
 Experience with Restaurant 365. 
ServSafe certified - highly desirable. 
Oversees the operations of the kitchen and back-of-house, ensuring that food is prepared safely, efficiently, and according to specifications or request. 
 Ensures kitchen runs in accordance with all applicable health, safety, and hygiene codes and standards. 
Creates and modifies the restaurant's menu based on food trends, food costs, patron requests, and seasonal availability. 
Oversees stocking, ordering, and purchasing of ingredients, ensuring that necessary ingredients are available and as fresh as possible while also minimizing spoilage and waste. 
Maintains and inspects kitchen equipment and utensils, recommending repairs or replacements as needed. 
Trains and/or oversees training of kitchen staff. 
Schedules kitchen staff, assigning roles based on experience and skills. 
Supervises work product from kitchen and back-of-house staff. 
Conducts performance evaluations that are timely and constructive. 
Handles discipline and termination of employees as needed and in accordance with restaurant policy. 
 Maintains kitchen budget. 
Collaborates with specialty chefs on menu items for example, works with pastry chefs to design an innovative, appealing, and complementary dessert menu. 
Performs other related duties as assigned. 


Diversity & Representation: Slutty Vegan is committed to building and supporting diverse and representative communities, long-term career opportunities and extends Equal Employment Opportunities to qualified applicants and employees on an equal basis regardless of an individual's age, race, color, sex, religion, national origin, disability, sexual orientation, gender identity or expression, pregnancy status, marital status, military or veteran status, genetic disposition or any other reason protected by law.
",Required Years of Experience3 years,"Compensation DetailsCompensation: Salary ($60,000.00 - $70,000.00)Benefits & Perks: Health Insurance, Dental Insurance, Vision Insurance, Paid Time Off, 401k",Required Skills,False,True
"https://culinaryagents.com/jobs/438580-Dishwasher?client_id=CA-SP-CULINARYAGENTS&s_id=49848&widget_name=job-search
",Anto,,Dishwasher,Full/Part Time • Hourly ($15.00),"Job DetailsQB Hospitality is a growing multi-functional restaurant group that currently owns and operates several well-known establishments in NYC, including Angelina Bakery, Antoya BBQ and Katherine Cocktail Bar. We are growing our team based in NYC and looking for DISHWASHERS / PORTERS to join the kitchen team of our newest high-end Korean steakhouse restaurant, Anto. We are fast-paced, highly collaborative, and have a friendly, flexible work environment. 
JOB DESCRIPTION
Dishwasher / Porter responsibilities include cleaning dishes to ensure that the kitchen has a steady supply of clean plates, bowls, silverware, pots, pans and glasses. Other duties include prioritizing loads of different types of crockery and kitchenware, hand-washing dishes, loading the dishwasher and placing items in their specified locations to dry and store, sweeping and mopping the floors and cleaning kitchen equipment.
RESPONSIBILITIES

Collect used kitchenware from dining and kitchen areas
Load and unload dishwashing machines
Wash specific items by hand (e.g. wooden cutting boards, large pots and delicate china)
Store clean dishes, glasses and equipment appropriately
Set up workstations before meal prep begins
Ensure there are always enough clean dishes, glasses and utensils, especially during peak hours
Maintain cleaning supplies stock (e.g. detergents) and place orders when necessary
Check washing machines’ operation and promptly report any technical/performance issues
Remove garbage regularly
Sanitize the kitchen area, sweeping and mopping the floor

QUALIFICATIONS

High school diploma or general education degree (GED) preferred
Restaurant or hospitality experience preferred
Working knowledge of sanitation procedures
Must be able to stand continuously throughout an 8 hour shift
Comfortable bending, climbing, reaching, stooping, and moving quickly
Ability to lift and carry up to 50 pounds
Flexible to work weekdays, weekends, nights and public holidays
",Required Years of Experience1 year,Compensation DetailsCompensation: Hourly ($15.00),,False,False
"https://culinaryagents.com/jobs/460109-General-Manager?client_id=CA-SP-CULINARYAGENTS&s_id=49837&widget_name=job-search
",Oxalis,,General Manager,Full Time • Salary ($80k - $90k),"Job DetailsWe are searching for a passionate and experienced General Manager to lead our talented team here at Oxalis. A successful candidate will have a passion for service and hospitality, an ability to bring enthusiasm and positivity to those around them, and a desire to continue challenging themselves to grow alongside our company. The hire will be responsible for expanding on our world-class service program and maintaining a high level of hospitality for the restaurant’s guests, as well as the execution of key administrative and HR functions. Growth is a key value for us. We are a driven team and are seeking someone to thoughtfully build-on our existing service and operations, to improve operational systems creatively and thoughtfully, and to meaningfully contribute to our culture of excellence. To thrive in this position, effective interpersonal skills such as leadership, communication, and empathy are a must.All candidates should have:

Ambition and professionalism
Respect and awareness of all staff and people 
Ability to multi-task and be efficient
Personal accountability
Professionalism and desire to keep learning and growing
Problem solving and adapting abilities
Ability to communicate and manage a diverse staff
Shared values/belief in sustainability and equity

Qualifications

Prior management experience in a similar role
Knowledge of both food and beverage, as well as old and new world wines
Service focused, hospitality minded

 
Compensation details

Bonus on performance and benefits including healthcare, paid vacation, and additional incentives

",Required Years of Experience2 years,"Compensation DetailsCompensation: Salary ($80,000.00 - $90,000.00)Benefits & Perks: Health Insurance, Dental Insurance, Vision Insurance, Paid Time Off, Commuter Benefits, Potential Bonuses",Required Skills,True,False
"https://culinaryagents.com/jobs/459747-Sous-Chef?client_id=CA-SP-CULINARYAGENTS&s_id=49791&widget_name=job-search
",Santa Panza,,Sous Chef,Full Time • Salary ($62k - $75k),"Job DetailsLooking for a self-motivated, hard working Sous Chef to join our crew. Pasta and pizza experience is a plus. Positive vibes only, and must be comfortable working with a team in a collaborative manner. We are looking for people who have strong communication skills and confidence that they can become an integral member of our team. You should have an interest in learning classic cooking techniques and have the desire to bring detail and care to your work. Our small kitchen allows an opportunity for one to work closely with our chef, co-workers, and front of house staff to execute a menu in an inspired setting with familiar service.
QUALIFICATIONS:

Highly developed sense of urgency
1+ years of progressive kitchen management experience in aspirational restaurants 
Strong leadership  and communication skills
Driven to provide outstanding food and hospitality
Ability to maintain a good handle on food and labor costs
Experience with dough (pizza and pasta) a big plus
Experienced with menu and recipe development, various cooking styles and techniques
Must be flexible to work nights, holidays & weekends according to the needs of the business. 
Food Handlers Certificate that meets local requirements


DUTIES & RESPONSIBILITIES:

Flexibility to work any station in the restaurant & takeout (prep, expo, colds, pasta, slapping, oven and new stations as they are created)
Oversee consistency, quality and cost analysis of food production according to targets established
Set the standards for safe work habits and DOH compliance, including but not limited to preparing the kitchen staff for a DOH inspection and managing the staff during inspection
Conduct regular food inventory
Achieve company objectives in sales, service, quality, appearance of facility and sanitation and cleanliness through training of employees and creating a positive, productive working environment.
Maintain clear and consistent communication with prompt and professional response to emails, texts, etc
Oversee organization of all shared kitchen spaces and walk-ins 
Attend regularly scheduled leadership meetings
Understand all company policies, procedures, standards, specifications, guidelines and training programs.
Continually strive to develop hourly staff in all areas of professional development.
Prepare all required paperwork, including forms, reports and schedules in an organized and timely manner.
Be knowledgeable of restaurant policies regarding personnel and administer prompt, fair and consistent corrective action for any and all violations of company policies, rules and procedures
",Required Years of Experience2 years,"Compensation DetailsCompensation: Salary ($62,000.00 - $75,000.00)Benefits & Perks: Health Insurance, Paid Time Off, Dining Discounts",Required Skills,True,False
"https://culinaryagents.com/jobs/460163-Prep-Cook
",Cafe Llama,,Prep Cook,Full/Part Time • Hourly ($20.00 - $22.00),"Job Details
CAFÉ LLAMA – PREP COOK  The Llama Company is opening a new establishment on the 66th floor within the new Spiral building in Hudson Yards called CAFÉ LLAMA! Bringing the Spiral business member’s an exclusive clubhouse space, Café Llama is the ultimate stop for all your go-to’s with some Peruvian flare.
We are looking for a PREP COOK member to help build our team and café to new heights. The ideal candidate will have NYC restaurant experience, fine dining, and catering background for a new cafe opening in the Hudson Yards. The ideal candidate will have the ability to work under pressure, communicate effectively, multi-task and have strong attention to detail.
Please note this venue is operating Monday – Friday, from 8am-8pm. 
 
We are looking for:  Strong, talented, and professional individuals to help us achieve our goals of continuing to excel and improve our dining and cultural experience. Michelin experience is preferred but not a must, and the right candidate needs to have Fine Dining experience. We place an emphasis on learning and continual improvement for all the team members. Above all, we are looking for highly motivated, dedicated, committed, and ambitious people. NYC Food Handlers Permit a plus.
 Overview of Role: Daily production of savory and pastry mis-en-place. Maintain proper food handling and food safety guidelines. Receive and organize deliveries, while following proper FIFO. Follow direction and communicate with your Sous & Executive Chef’s
 Requirements for Success: • Organized • Strong attention to detail. • Ability to work in a fast-paced environment. • General knife handling, basic kitchen etiquette, food safety, & sanitation knowledge.  • 1-2 year kitchen experience.
 Compensation Details:
Compensation: Hourly (Based on Experience), $22-$24/Hr
Benefits & Perks: 401k, Commuter Benefits, Dining Discounts, M-F schedule
 
About Us:
 
The Llama Company encompasses the modern Peruvian dining experience, bringing to the spotlight cuisines such as Chifa (Chinese-Peruvian) and Nikkei (Japanese-Peruvian).
 
The first born, Llama Inn is a modern Peruvian restaurant located in Williamsburg, Brooklyn. We combine traditional Peruvian flavors and techniques and reinvigorate the style within our New York environment. New York Times 2 Star Review, 4x Michelin Bib Gourmand, NYMag 4 stars. Our top of the rank bar program infuses the flavors of Peru into culinary cocktails with a deep focus on Latin American spirits.
Later followed by Llama San, Peruvian-Japanese (Nikkei) restaurant in the West Village. We excitedly introduce Nikkei cuisines to NYC and our Llama Inn fan base.  +3 Stars NY Times, Nominated James Beard Foundation 2022 outstanding bar program, Tales 2022 Top 10 Regional Honoree Best US Restaurant Bar
And across the Atlantic, our newest addition, Llama Inn Madrid.
",Required Years of Experience3 years,"Compensation DetailsCompensation: Hourly ($20.00 - $22.00)Benefits & Perks: Health Insurance, 401k, Commuter Benefits, Dining Discounts",,False,True
"https://culinaryagents.com/jobs/460159-Host
",Anto,,Host,Full/Part Time • Hourly ($20.00 - $22.00),"Job DetailsJob Details

QB Hospitality is searching for Front of House professionals to open it's new marquee Korean Steakhouse project in a historic location in Manhattan's Upper East Side. We're searching for polished professionals willing to invest their time and expertise into developing a refined and lucrative environment, grounded in culture with an abiding respect for what we serve and the ritual nature of fine dining and hospitality. 
Our Ideal Candidates are looking to participate in building an operationally sound, culturally rooted restaurant where participation, mentorship and respect for craftsmen of all levels is a core personal and professional value. 
EXPERIENCE GUIDELINES

Strong Phone Skills in English are Mandatory, but proficiency in Korean, Mandarin, French, and Italian are a strong secondary asset, though not required
Prior experience dealing with the needs, timelines, and service requirements of High Net Worth individuals 
Experience in a fine dining environment is highly preferred
Experience in Michelin Rated properties and the requisite attention to detail is preferred
Experience with Tock as a reservations platform is strongly preferred.
Experience in Chef-Paced Tasting Menu formats highly encouraged to Apply

We are accepting any and all resumes for qualified candidates as a Proud Equal Opportunity Employer. 

",Required Years of Experience2 years,Compensation DetailsCompensation: Hourly ($20.00 - $22.00),,False,False
"https://culinaryagents.com/jobs/460152-Kitchen-Manager
",Slutty Vegan,,Kitchen Manager,Full Time • Salary ($60k - $70k),"Job Details
Slutty Vegan is an Atlanta based fast casual vegan revolutionary movement! We offer fun, high-energy experiences- plant-based burgers, piled high with sauce, toppings & other hearty vegan eats. Slutty Vegan’s mission is to create enjoyable, community-oriented experiences for all people to enjoy and provide more(vegan) options than the norm. 
The Role: 
Reporting into the District Manager, the Kitchen Manager will oversee the Brooklyn based cloud kitchen ensuring operational success for Slutty Vegans catering business. A successful Kitchen Manager will be able to manage a kitchen staff and guide them to deliver quality food on time and to brand standards.
POSITION ACCOUNTABILITIES: 

Minimum 3 years of culinary managerial experience required, within a vegan restaurant concept- a plus. 
3 years experience with P&L responsibility, preferably in the Hospitality industry. 
Relevant experience or training, which may be demonstrated via degree or certificate, completion of apprenticeship, or other experience necessary to become trained as a highly skilled professional cook. 
 Experience with Restaurant 365. 
ServSafe certified - highly desirable. 
Oversees the operations of the kitchen and back-of-house, ensuring that food is prepared safely, efficiently, and according to specifications or request. 
 Ensures kitchen runs in accordance with all applicable health, safety, and hygiene codes and standards. 
Creates and modifies the restaurant's menu based on food trends, food costs, patron requests, and seasonal availability. 
Oversees stocking, ordering, and purchasing of ingredients, ensuring that necessary ingredients are available and as fresh as possible while also minimizing spoilage and waste. 
Maintains and inspects kitchen equipment and utensils, recommending repairs or replacements as needed. 
Trains and/or oversees training of kitchen staff. 
Schedules kitchen staff, assigning roles based on experience and skills. 
Supervises work product from kitchen and back-of-house staff. 
Conducts performance evaluations that are timely and constructive. 
Handles discipline and termination of employees as needed and in accordance with restaurant policy. 
 Maintains kitchen budget. 
Collaborates with specialty chefs on menu items for example, works with pastry chefs to design an innovative, appealing, and complementary dessert menu. 
Performs other related duties as assigned. 


Diversity & Representation: Slutty Vegan is committed to building and supporting diverse and representative communities, long-term career opportunities and extends Equal Employment Opportunities to qualified applicants and employees on an equal basis regardless of an individual's age, race, color, sex, religion, national origin, disability, sexual orientation, gender identity or expression, pregnancy status, marital status, military or veteran status, genetic disposition or any other reason protected by law.
",Required Years of Experience3 years,"Compensation DetailsCompensation: Salary ($60,000.00 - $70,000.00)Benefits & Perks: Health Insurance, Dental Insurance, Vision Insurance, Paid Time Off, 401k",Required Skills,False,True
"https://culinaryagents.com/jobs/460150-Line-Cook
",& Sons Hospitality Group,,Line Cook,Full Time • Hourly ($20.00),"Job DetailsAnd Sons Hospitality Group is looking for enthusiastic, motivated, and passionate cooking professionals. You will be cooking elevated, fun, thoughtful food, with the best ingredients available. We are currently operating multiple small restaurant outlets (ham bar, breakfast tacos, oyster bar, provision store, bakery, and wineshop) and growing. If you’re looking for an opportunity to work and learn in a positive, team-oriented environment that allows for creative input and growth, we look forward to hearing from you.
Job Responsibilities:

Prepare and execute mise en place fully for your own station
Running your station through service, executing ingredients and components to high standards in an organized manner
Communicate efficiently and effectively
Be able to follow and uphold cleanliness of the kitchen in line with NYC DOH standards as well as our own exceptional standards

Requirements:

Understanding of proper NYC DOH sanitation standards
Positive attitude in the workplace, with a willingness to follow direction
Ability to work and keep your workspace clean and uphold the standards of the restaurant
Ability to work/stand for 8-10 hours a day and to carry up to 20lbs occasionally
Ability to work late nights and holidays as required

A successful candidate will have experience in an organized, fast-paced, and high-performing kitchen, and will excel at following instructions and communicating efficiently.",Required Years of Experience1 year,Compensation DetailsCompensation: Hourly ($20.00),,False,False
"https://culinaryagents.com/jobs/438580-Dishwasher
",Anto,,Dishwasher,Full/Part Time • Hourly ($15.00),"Job DetailsQB Hospitality is a growing multi-functional restaurant group that currently owns and operates several well-known establishments in NYC, including Angelina Bakery, Antoya BBQ and Katherine Cocktail Bar. We are growing our team based in NYC and looking for DISHWASHERS / PORTERS to join the kitchen team of our newest high-end Korean steakhouse restaurant, Anto. We are fast-paced, highly collaborative, and have a friendly, flexible work environment. 
JOB DESCRIPTION
Dishwasher / Porter responsibilities include cleaning dishes to ensure that the kitchen has a steady supply of clean plates, bowls, silverware, pots, pans and glasses. Other duties include prioritizing loads of different types of crockery and kitchenware, hand-washing dishes, loading the dishwasher and placing items in their specified locations to dry and store, sweeping and mopping the floors and cleaning kitchen equipment.
RESPONSIBILITIES

Collect used kitchenware from dining and kitchen areas
Load and unload dishwashing machines
Wash specific items by hand (e.g. wooden cutting boards, large pots and delicate china)
Store clean dishes, glasses and equipment appropriately
Set up workstations before meal prep begins
Ensure there are always enough clean dishes, glasses and utensils, especially during peak hours
Maintain cleaning supplies stock (e.g. detergents) and place orders when necessary
Check washing machines’ operation and promptly report any technical/performance issues
Remove garbage regularly
Sanitize the kitchen area, sweeping and mopping the floor

QUALIFICATIONS

High school diploma or general education degree (GED) preferred
Restaurant or hospitality experience preferred
Working knowledge of sanitation procedures
Must be able to stand continuously throughout an 8 hour shift
Comfortable bending, climbing, reaching, stooping, and moving quickly
Ability to lift and carry up to 50 pounds
Flexible to work weekdays, weekends, nights and public holidays
",Required Years of Experience1 year,Compensation DetailsCompensation: Hourly ($15.00),,False,False
"https://culinaryagents.com/jobs/460149-Line-Cook
",& Sons Ham Bar,,Line Cook,Full Time • Hourly ($20.00),"Job Details
& Sons Ham Bar is looking for enthusiastic, motivated and passionate cooking professionals. You will be cooking elevated, fun and thoughtful food, with the best ingredients available. If you’re looking for an opportunity to work and learn in a positive, team oriented environment that allows for creative input and growth, we look forward to hearing from you.

Job Responsibilities:

Prepare and execute mise en place fully for your own station
Running your station through service, executing ingredients and components to high standards in an organized manner
Communicate efficiently and effectively
Be able to follow and uphold cleanliness of the kitchen in line with NYC DOH standards as well as our own exceptional standards

Requirements:


Understanding of proper NYC DOH sanitation standards
Positive attitude in the workplace, with a willingness to follow direction
Ability to work and keep your workspace clean and uphold the standards of the restaurant
Ability to work/stand for 8-10 hours a day and to carry up to 20lbs occasionally
Ability to work late nights and holidays as required

A successful candidate will have experience in an organized, fast-paced, and high-performing kitchen, and will excel at following instructions and communicating efficiently.
",Required Years of Experience1 year,Compensation DetailsCompensation: Hourly ($20.00),,False,False
